id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1104790549658251264,1104721108090130433,1552237567000,2019-03-10,18:06:07,CET,910174387323768832,bobodi5,Bobodi,,"Ferme ta gueule, sac de merde.  Les sites catho,  histoire de notre pays,  ne te concerne même plus.  Ta mere doit pleurer de t avoir mis au monde.  Sous homme.  Suceur d islamiste  Si si c est toi @CCastaner #Acte18 #acte19 #acte20","['ccastaner', 'policenationale']",[],[],0,0,1,,"['#acte18', '#acte19', '#acte20']",https://twitter.com/Bobodi5/status/1104790549658251264,,,0
1104432819055575040,1104432819055575040,1552152278000,2019-03-09,18:24:38,CET,726472657147830272,slibre6,Yves,,#gilet #GiletJaune #gilets_jaunes #ActeXVII #Acte17 #acteXVIII #acte18 salaires economie #acteXIX #acte19 Des parking de voitures neuves ! C'est pas un scandale ça ! alors qu'il suffirait de baisser le prix   Une voiture neuve à 3000€ ça vous arracherait pas le coeur ? non ?  pic.twitter.com/VgBRq4xYwf,,[],['https://pbs.twimg.com/media/D1O7xypWwAIg_rV.png'],0,0,0,,"['#gilet', '#giletjaune', '#gilets_jaunes', '#actexvii', '#acte17', '#actexviii', '#acte18', '#actexix', '#acte19']",https://twitter.com/slibre6/status/1104432819055575040,,,0
1104432252526583809,1104432252526583809,1552152143000,2019-03-09,18:22:23,CET,726472657147830272,slibre6,Yves,,#gilet #GiletJaune #gilets_jaunes #ActeXVII #Acte17 #acteXVIII #acte18 salaires economie #acteXIX #acte19 Des parking de voitures neuves ! C'est pas un scandale ça ! alors qu'il suffirait de baisser le prix   Une voiture neuve à 3000€ ça vous arracherait pas le coeur ? non ?  pic.twitter.com/6nCC5rwOqO,,[],['https://pbs.twimg.com/media/D1O7Q-FXgAUcfaz.jpg'],0,0,0,,"['#gilet', '#giletjaune', '#gilets_jaunes', '#actexvii', '#acte17', '#actexviii', '#acte18', '#actexix', '#acte19']",https://twitter.com/slibre6/status/1104432252526583809,,,0
1104404336212430854,1104404336212430854,1552145487000,2019-03-09,16:31:27,CET,249401017,wwrevolution,WorldWideRevolution,,16 mars. êtes-vous prêt pour l'acte 18? #GiletJaune #GiletsJaunes #JeSuisUnGiletJaune #Macron #Poll #Sondage #Acte19 #Acte18 #Acte20 #Acte19 #ActeXVIII #ActeXIV #Act18 #ActXVIII #YellowVests #YellowVest #GiletsJaunesParis #VivaLaFrance #RIC #JoinTheMovement #GILETS_JAUNES,,[],[],2,2,1,,"['#giletjaune', '#giletsjaunes', '#jesuisungiletjaune', '#macron', '#poll', '#sondage', '#acte19', '#acte18', '#acte20', '#acte19', '#actexviii', '#actexiv', '#act18', '#actxviii', '#yellowvests', '#yellowvest', '#giletsjaunesparis', '#vivalafrance', '#ric', '#jointhemovement', '#gilets_jaunes']",https://twitter.com/WWRevolution/status/1104404336212430854,,,0
1104393831238324224,1104393831238324224,1552142982000,2019-03-09,15:49:42,CET,716188489302327296,smictrash,foobiker,,#acte19 #acteXIX #giletsjaunes2019 #paris #9Mars2019 pic.twitter.com/Lm7RsaxC6n,,[],"['https://pbs.twimg.com/media/D1OYUgZX0AAS4y4.jpg', 'https://pbs.twimg.com/media/D1OYUgEWwAIdCjV.jpg']",0,0,1,,"['#acte19', '#actexix', '#giletsjaunes2019', '#paris', '#9mars2019']",https://twitter.com/Smictrash/status/1104393831238324224,,,0
1104138280730329090,1104138280730329090,1552082054000,2019-03-08,22:54:14,CET,1102136594994221056,eteintt,Éteint Ta Tv,,"Nous, on vous invite à répondre aux questions de #ONU avant de faire la leçon Mr le ministre #Castaner et ainsi répondre de vos crimes #ViolencesPolicieres  Nous sommes le pays des droits de l'homme #DroitDeManifestation  Toujours ! #Acte16 #Acte18 #Acte19 #OnNeLacheRien https://twitter.com/Europe1/status/1104125727027482629 …",,['https://twitter.com/Europe1/status/1104125727027482629'],[],0,0,0,,"['#onu', '#castaner', '#violencespolicieres', '#droitdemanifestation', '#acte16', '#acte18', '#acte19', '#onnelacherien']",https://twitter.com/EteintT/status/1104138280730329090,,https://twitter.com/Europe1/status/1104125727027482629,0
1103973253666742272,1103909463122169856,1552042709000,2019-03-08,11:58:29,CET,1543813320,mrjumper02,✞ Patrick CHENU 🇫🇷 #GiletsJaunes,,"Il y a une constante chez les organes d’influence (terme employé par #Macron pour désigner les journalistes) dans la Com., il faut sortir de temps en temps des articles à charges afin de déprimer les #GiletsJaunes mais nous ne sommes plus dupes 😉😂🤣 #Acte17 #Acte18 #Acte19  pic.twitter.com/irDYzBEXdR",['franceinfo'],[],['https://pbs.twimg.com/media/D1IZz4cWsAEPPCQ.jpg'],3,19,18,,"['#macron', '#giletsjaunes', '#acte17', '#acte18', '#acte19']",https://twitter.com/MrJumper02/status/1103973253666742272,,,0
1103926289583370240,1103926289583370240,1552031512000,2019-03-08,08:51:52,CET,1083915256374673409,timtruth1,Tim Truth,,ACT 17 Preview and News for Yellow Vests:  #YellowVests #GiletsJaunes #LBD #Act19 #Acte19 #France #PatriotResistance  https://youtu.be/VW35TF8vUO0 ,,['https://youtu.be/VW35TF8vUO0'],[],0,0,0,,"['#yellowvests', '#giletsjaunes', '#lbd', '#act19', '#acte19', '#france', '#patriotresistance']",https://twitter.com/TimTruth1/status/1103926289583370240,,,0
1103394125469093888,1103394017843310596,1551904634000,2019-03-06,21:37:14,CET,406377375,olivierrimmel,Olivier Rimmel 🕊️,,#acte19 et #acte20 😇,,[],[],1,2,9,,"['#acte19', '#acte20']",https://twitter.com/OlivierRimmel/status/1103394125469093888,,,0
1103266486221709312,1103266486221709312,1551874202000,2019-03-06,13:10:02,CET,1068600253232881665,etjauneg,Etjaune Gil,,Samedi 23 mars 2019  #Acte19 #ActeXIX #GiletsJaunes https://twitter.com/YourAnonNews/status/1103263376669659136 …,,['https://twitter.com/YourAnonNews/status/1103263376669659136'],[],0,2,0,,"['#acte19', '#actexix', '#giletsjaunes']",https://twitter.com/EtjauneG/status/1103266486221709312,,https://twitter.com/YourAnonNews/status/1103263376669659136,0
